Wall time,Step,Value
1733032662.4386566,280,19.29617691040039
1733032666.993056,283,19.764869689941406
1733032706.8390281,309,20.6954345703125
1733032742.3030038,332,18.11200714111328
1733032847.4438562,396,19.90496826171875
1733032861.1187859,405,17.99488639831543
1733032962.4524775,467,16.972444534301758
1733032970.0372562,472,16.42482566833496
1733033051.946103,493,15.015766143798828
1733033079.1969218,511,16.96936798095703
1733033132.449564,546,16.306068420410156
1733033135.4875674,548,15.103594779968262
1733033147.6445668,556,16.137550354003906
1733033312.0744777,659,16.102861404418945
1733033379.3870742,698,14.87852954864502
1733033400.6618512,712,15.475518226623535
1733033543.0120125,774,15.541704177856445
1733033584.0500395,801,14.525306701660156
1733033616.3097622,817,15.961695671081543
1733033626.92821,824,14.199417114257812
1733033699.9902809,872,15.94309139251709
1733033719.799244,885,15.930316925048828
1733033741.1274269,899,15.755949974060059
1733033756.306256,909,13.882292747497559
1733033872.8750184,952,15.700990676879883
1733033892.4272938,960,17.458375930786133
1733033966.506761,1009,15.287578582763672
1733033987.7970634,1023,15.991334915161133
1733033990.8335333,1025,13.335588455200195
1733034013.620671,1040,15.077817916870117
1733034022.7694194,1046,15.663919448852539
1733034072.6143196,1074,14.44044303894043
1733034246.00437,1183,14.604470252990723
1733034333.0255036,1209,14.814581871032715
1733034334.543623,1210,13.599956512451172
1733034343.6651664,1216,14.332194328308105
1733034384.7186272,1243,12.99525260925293
1733034398.4545977,1252,16.88621711730957
1733034480.8089983,1301,12.817398071289062
1733034485.359404,1304,15.975555419921875
1733034526.308741,1331,13.362107276916504
1733034543.0099473,1342,14.005895614624023
1733034637.5229814,1399,14.034927368164062
1733034666.3623908,1418,13.797323226928711
1733034839.0447395,1499,13.953030586242676
1733034930.3831496,1554,12.419116973876953
1733034934.9346306,1557,12.599684715270996
1733034956.2067356,1571,13.603534698486328
1733034962.2768486,1575,13.730447769165039
1733035035.1426692,1623,13.964334487915039
1733035053.3014357,1630,13.040285110473633
1733035086.5952892,1652,15.19774055480957
1733035104.8170264,1664,14.211889266967773
1733035167.893013,1674,12.024445533752441
1733035213.3151624,1704,15.455589294433594
1733035230.0312295,1715,13.134176254272461
1733035251.2955232,1729,12.902127265930176
1733035300.0479627,1761,12.471955299377441
1733035351.956286,1790,14.092272758483887
1733035376.2415578,1806,12.039188385009766
1733035400.517156,1822,15.367467880249023
1733035406.5892637,1826,12.742767333984375
1733035432.4078305,1843,14.116365432739258
1733035493.1012979,1878,13.05002498626709
1733035621.462472,1929,12.837163925170898
1733035648.7466397,1947,12.893406867980957
1733035662.4001222,1956,12.459484100341797
1733035683.6538317,1970,12.506145477294922
1733035686.6923807,1972,12.948188781738281
1733035691.2506723,1975,11.607841491699219
1733035765.6228805,2019,14.54554557800293
1733035833.93101,2064,13.319326400756836
1733035861.2429247,2082,10.45821475982666
1733035874.9005554,2091,11.60892105102539
1733035894.6385233,2104,11.682672500610352
1733035906.9045727,2107,12.956005096435547
1733035919.0445719,2115,12.360148429870605
1733036028.142923,2155,12.535139083862305
1733036053.7362185,2172,12.184427261352539
1733036073.4135118,2185,13.741378784179688
1733036155.4217556,2239,13.749626159667969
1733036216.2960668,2274,12.03114128112793
1733036278.5443487,2315,10.619778633117676
1733036307.4170322,2334,13.0535249710083
1733036501.7095845,2425,12.116064071655273
1733036519.9348266,2437,10.425020217895508
1733036538.1676219,2449,11.102102279663086
1733036568.561288,2469,11.808950424194336
1733036576.1591463,2474,9.670417785644531
1733036577.676054,2475,12.13582992553711
1733036615.3369818,2495,11.075506210327148
1733036622.9266348,2500,11.722139358520508
1733036691.2507582,2545,11.944053649902344
1733036709.487045,2557,11.931405067443848
1733036770.4892354,2592,10.752864837646484
1733036871.6825843,2627,10.798517227172852
1733036873.1811502,2628,11.549125671386719
1733036876.177387,2630,11.508932113647461
1733036942.6446333,2674,11.15483283996582
1733036968.4807854,2691,11.596797943115234
1733036971.5245907,2693,12.82017707824707
1733036979.1273503,2698,13.3646240234375
1733037024.850191,2723,11.821307182312012
1733037026.369039,2724,12.743836402893066
1733037041.5278442,2734,11.516997337341309
1733037044.573645,2736,11.792845726013184
1733037052.168238,2741,11.76150894165039
1733037096.206789,2770,12.43624496459961
1733037118.9894156,2785,11.657419204711914
1733037128.094249,2791,11.377102851867676
1733037384.3146346,2923,11.433784484863281
1733037475.4423373,2978,9.827444076538086
1733037496.6855967,2992,9.403435707092285
1733037549.8205676,3027,11.003514289855957
1733037769.5378873,3134,12.172060012817383
1733037884.6528234,3205,12.77409553527832
1733037951.4394875,3249,11.71875
1733037992.438956,3276,11.273378372192383
1733037996.9901197,3279,10.909570693969727
1733038137.9703784,3337,11.403375625610352
1733038231.5842369,3399,11.715630531311035
1733038292.1645436,3434,10.964424133300781
1733038343.7001889,3468,12.703237533569336
1733038364.9400182,3482,11.48631477355957
1733038367.974045,3484,10.224485397338867
1733038369.4924,3485,11.400026321411133
1733038464.8000596,3543,13.300975799560547
1733038623.6594675,3614,10.528446197509766
1733038672.411431,3646,11.285441398620605
1733038742.5336165,3687,11.846832275390625
1733038789.5822601,3718,11.782171249389648
1733039025.9328473,3838,9.732161521911621
1733039053.2115552,3856,11.427061080932617
1733039056.2447538,3858,10.422880172729492
1733039132.1479542,3908,10.34250259399414
1733039224.8566694,3964,9.555273056030273
1733039247.6196332,3979,11.785308837890625
1733039334.0600116,4031,9.55699348449707
1733039414.5683703,4052,10.216567993164062
1733039422.0391078,4057,9.945332527160645
1733039425.0354297,4059,10.20610523223877
1733039490.1431499,4102,9.94091796875
1733039595.3429427,4166,10.89691162109375
1733039637.843127,4194,10.45748519897461
1733039680.3819344,4222,9.546440124511719
1733039766.6095037,4274,11.045654296875
1733039909.1588213,4336,10.020466804504395
1733039925.950648,4347,9.803651809692383
1733040044.5788536,4420,10.716208457946777
1733040065.8449275,4434,9.413301467895508
1733040074.96344,4440,9.92342472076416
1733040112.9693081,4465,10.072966575622559
1733040120.5575964,4470,9.840316772460938
1733040175.4962811,4501,9.491500854492188
1733040285.5967696,4542,10.788825988769531
1733040305.2542868,4555,9.003477096557617
1733040308.2803557,4557,11.091058731079102
1733040439.4268272,4638,9.784374237060547
1733040489.5161304,4671,9.620464324951172
1733040586.660799,4730,10.056215286254883
1733040612.310505,4747,10.88233757019043
1733040690.4678106,4768,9.031253814697266
1733040845.9275894,4866,9.58834171295166
1733040900.3390713,4902,10.902132034301758
1733040906.4076076,4906,8.886407852172852
1733040918.54598,4914,8.486052513122559
1733041038.5173428,4988,9.381584167480469
1733041147.3471334,5026,9.851147651672363
1733041165.5105915,5038,10.030006408691406
1733041168.5470583,5040,10.423873901367188
1733041226.3809588,5078,10.66326904296875
1733041244.6965072,5090,8.288667678833008
1733041316.0818834,5132,9.796395301818848
1733041427.1159842,5200,9.110597610473633
1733041440.709085,5209,8.387077331542969
1733041445.2513862,5212,9.22636604309082
1733041607.1490371,5288,9.565539360046387
1733041610.183689,5290,9.026674270629883
1733041699.9716496,5344,11.1636962890625
1733041742.4365945,5372,9.672012329101562
1733041850.5015707,5438,9.760910034179688
1733041963.4218726,5477,9.88083267211914
1733042099.48738,5567,9.89344310760498
1733042131.6206508,5583,8.879325866699219
1733042152.8753808,5597,8.698480606079102
1733042245.4948103,5658,10.482630729675293
1733042286.7510023,5680,9.390848159790039
1733042443.559196,5753,9.699909210205078
1733042446.5985522,5755,9.941478729248047
1733042495.1495843,5787,8.847005844116211
1733042560.8123894,5825,9.966443061828613
1733042671.676661,5898,8.71011734008789
1733042677.746712,5902,9.04360580444336
1733042708.2638965,5917,10.166357040405273
1733042816.3399093,5958,9.357606887817383
1733042820.836208,5961,11.259529113769531
1733042949.7402954,6046,8.56943130493164
1733042983.4339392,6063,9.403064727783203
1733042987.9872937,6066,8.80341911315918
1733043039.602711,6100,10.968989372253418
1733043042.6393352,6102,8.829176902770996
1733043053.272928,6109,9.536327362060547
1733043107.9388077,6145,8.789356231689453
1733043147.1931918,6166,10.000364303588867
1733043232.2143455,6190,9.959680557250977
1733043248.6454148,6201,8.435216903686523
1733043289.449849,6228,7.693774223327637
1733043319.8317013,6248,8.762367248535156
1733043327.418412,6253,8.893245697021484
1733043496.2378259,6359,9.75432014465332
1733043511.423632,6369,10.487585067749023
1733043595.23691,6419,8.895990371704102
1733043672.2889152,6438,9.870977401733398
1733043691.8599086,6451,10.103761672973633
1733043700.922473,6457,9.216200828552246
1733043720.6404402,6470,8.51127815246582
1733043814.9418209,6527,10.131312370300293
1733043849.7483191,6550,9.058470726013184
1733043857.349068,6555,9.486083984375
1733043893.7772334,6579,9.514694213867188
1733043927.1903443,6601,8.72138786315918
1733043946.9419038,6614,9.51296615600586
1733043991.0511644,6638,8.113273620605469
1733044185.091866,6734,10.40723991394043
1733044221.6303976,6758,9.771897315979004
1733044311.3822834,6812,7.659909248352051
1733044326.5750527,6822,9.798467636108398
1733044355.4430087,6841,9.080964088439941
1733044445.1455119,6895,9.23512077331543
1733044551.874384,6934,8.930213928222656
1733044556.41343,6937,7.199522495269775
1733044574.619684,6949,9.233375549316406
1733044615.6447825,6976,8.415426254272461
1733044621.7174892,6980,8.695133209228516
1733044787.2670503,7084,8.690370559692383
1733044799.4279728,7092,9.457958221435547
1733044829.9101884,7107,8.483521461486816
1733045023.9239817,7204,8.524933815002441
1733045063.6162388,7230,8.283102989196777
1733045104.7548802,7252,10.101146697998047
1733045252.0920017,7344,9.184675216674805
1733045264.1647532,7352,8.943649291992188
1733045376.2140806,7393,8.654586791992188
1733045468.4036062,7454,9.281601905822754
1733045523.2540128,7485,9.5979585647583
1733045620.414898,7549,8.35690689086914
1733045647.803567,7567,9.476582527160645
1733045662.9812298,7577,8.1808443069458
1733045664.5022109,7578,8.505636215209961
1733045700.8624082,7597,7.198490619659424
1733045784.8424885,7620,7.806091785430908
1733045813.2935364,7639,9.650297164916992
1733045887.5526004,7688,8.609779357910156
1733045902.7294507,7698,8.528011322021484
1733045907.2980366,7701,8.451061248779297
1733045930.1433039,7716,8.851217269897461
1733045987.973435,7749,8.540637969970703
1733046144.22044,7847,10.211227416992188
1733046243.3246315,7882,9.06579875946045
1733046308.574916,7925,9.692769050598145
1733046317.703894,7931,9.157283782958984
1733046427.1866763,7998,10.009014129638672
1733046457.5302851,8018,9.414266586303711
1733046469.6732779,8026,8.377874374389648
1733046484.8710964,8036,9.372681617736816
1733046545.7804682,8071,8.396869659423828
1733046693.323882,8138,8.727787017822266
1733046741.8724437,8170,9.702902793884277
1733046839.0517945,8229,7.969612121582031
1733046892.1913633,8264,9.11912727355957
1733046908.911323,8275,8.48249626159668
1733046927.1392353,8287,7.299129009246826
1733046960.6541908,8304,8.674921035766602
1733047179.2864702,8418,9.085777282714844
1733047240.1126113,8453,8.621140480041504
1733047249.2070038,8459,8.752044677734375
1733047353.9423676,8528,9.856880187988281
1733047476.2566001,8572,8.977110862731934
1733047485.2145665,8578,9.325498580932617
1733047519.8660488,8601,9.068375587463379
1733047527.4394157,8606,9.549196243286133
1733047541.123536,8615,8.923844337463379
1733047685.6404,8705,9.595088958740234
1733047690.1999862,8708,8.331765174865723
1733047732.7058008,8736,9.928777694702148
1733047747.9014144,8746,8.95179557800293
1733047843.747994,8804,7.753663063049316
1733047944.2101724,8839,9.979328155517578
1733047994.3622966,8872,8.282478332519531
1733047995.8810873,8873,9.06690788269043
1733048087.2255654,8928,8.605566024780273
1733048094.8228812,8933,8.653478622436523
1733048339.7636385,9057,8.149877548217773
1733048344.273937,9060,9.47317886352539
1733048429.5172536,9116,8.423320770263672
1733048440.2415817,9123,9.102563858032227
1733048469.353901,9142,8.252816200256348
1733048481.4710913,9145,8.539487838745117
1733048513.3300421,9166,8.228660583496094
1733048523.950557,9173,8.720198631286621
1733048558.8491268,9196,8.473962783813477
1733048584.6668262,9213,9.516468048095703
1733048611.979957,9231,8.608445167541504
1733048621.0892637,9237,8.531644821166992
1733048643.8906112,9247,8.86833667755127
1733048761.7799046,9293,9.310123443603516
1733048773.7934458,9301,9.78698444366455
1733049029.4642332,9464,8.174347877502441
1733049040.0947347,9471,8.595219612121582
1733049088.9230537,9498,8.523162841796875
1733049208.1110234,9545,8.838346481323242
1733049221.7337513,9554,8.497968673706055
1733049270.460445,9586,9.092302322387695
1733049302.6212626,9607,9.542038917541504
1733049375.9372683,9650,7.326380252838135
1733049380.500298,9653,8.110095977783203
1733049410.8633718,9673,8.32591438293457
1733049421.4847143,9680,8.705379486083984
1733049460.989703,9706,7.460311412811279
1733049626.728128,9776,8.702018737792969
