Wall time,Step,Value
1733032662.4388297,280,0.8675163984298706
1733032666.993216,283,0.8637818694114685
1733032706.8391953,309,0.8448523283004761
1733032742.303179,332,0.8235288858413696
1733032847.4440174,396,0.7889071702957153
1733032861.1189466,405,0.7878800630569458
1733032962.4526358,467,0.7527713775634766
1733032970.0374255,472,0.7532937526702881
1733033051.9462814,493,0.737066388130188
1733033079.1971078,511,0.7309749126434326
1733033132.4497328,546,0.7166360020637512
1733033135.487735,548,0.7161529064178467
1733033147.644731,556,0.719814121723175
1733033312.0746512,659,0.669678270816803
1733033379.387258,698,0.6521821618080139
1733033400.6620166,712,0.6491910815238953
1733033543.012188,774,0.6215313673019409
1733033584.0502143,801,0.6177033185958862
1733033616.3099387,817,0.6086891889572144
1733033626.928391,824,0.6213597059249878
1733033699.9904814,872,0.5972678661346436
1733033719.7994263,885,0.5917133688926697
1733033741.1276085,899,0.5899639129638672
1733033756.306438,909,0.5823184847831726
1733033872.8754427,952,0.5710893273353577
1733033892.4274662,960,0.5682339668273926
1733033966.5069408,1009,0.5602405667304993
1733033987.7972379,1023,0.5546501278877258
1733033990.8337061,1025,0.5542582273483276
1733034013.620845,1040,0.5441905856132507
1733034022.7695887,1046,0.550774335861206
1733034072.6145005,1074,0.5383715629577637
1733034246.004545,1183,0.5203042030334473
1733034333.0256777,1209,0.5129656195640564
1733034334.5437777,1210,0.5026872158050537
1733034343.6653485,1216,0.5083101987838745
1733034384.718781,1243,0.4976893365383148
1733034398.454765,1252,0.5004992485046387
1733034480.8091593,1301,0.4776979684829712
1733034485.3595679,1304,0.4849242866039276
1733034526.3089116,1331,0.4841614365577698
1733034543.010107,1342,0.4808896780014038
1733034637.5232234,1399,0.4654083251953125
1733034666.362553,1418,0.46187713742256165
1733034839.0449092,1499,0.449153333902359
1733034930.3833182,1554,0.4392482340335846
1733034934.9347858,1557,0.4265468120574951
1733034956.206905,1571,0.43008875846862793
1733034962.2770236,1575,0.4361204206943512
1733035035.1428275,1623,0.42450109124183655
1733035053.3016024,1630,0.4239981472492218
1733035086.5954704,1652,0.4206121861934662
1733035104.8171916,1664,0.42152807116508484
1733035167.8931851,1674,0.41442060470581055
1733035213.3153381,1704,0.40936753153800964
1733035230.031403,1715,0.4173746407032013
1733035251.2956953,1729,0.41279280185699463
1733035300.0481184,1761,0.4043579697608948
1733035351.9564464,1790,0.3969102203845978
1733035376.2417068,1806,0.3981127440929413
1733035400.5173662,1822,0.40119004249572754
1733035406.5894158,1826,0.3928241729736328
1733035432.4079964,1843,0.3934859037399292
1733035493.1015387,1878,0.38784030079841614
1733035621.462643,1929,0.3829634189605713
1733035648.7468364,1947,0.3861488699913025
1733035662.4002917,1956,0.37854599952697754
1733035683.6540344,1970,0.3754088878631592
1733035686.6925604,1972,0.3773409128189087
1733035691.2508378,1975,0.37767115235328674
1733035765.6230462,2019,0.3761677145957947
1733035833.9311676,2064,0.3665391206741333
1733035861.2430713,2082,0.3629905581474304
1733035874.9008152,2091,0.3655509352684021
1733035894.638698,2104,0.36086776852607727
1733035906.9047334,2107,0.3628930151462555
1733035919.0447483,2115,0.35880768299102783
1733036028.1430845,2155,0.35304751992225647
1733036053.7363968,2172,0.35709333419799805
1733036073.413675,2185,0.3565245270729065
1733036155.4219198,2239,0.3488725423812866
1733036216.296236,2274,0.3460865616798401
1733036278.544499,2315,0.3516182601451874
1733036307.4171898,2334,0.34184810519218445
1733036501.7098465,2425,0.3361123502254486
1733036519.9349818,2437,0.33856332302093506
1733036538.1677916,2449,0.3351225256919861
1733036568.5614471,2469,0.3305056691169739
1733036576.159316,2474,0.3344709277153015
1733036577.6762269,2475,0.33822229504585266
1733036615.337135,2495,0.3347721993923187
1733036622.9268184,2500,0.33444127440452576
1733036691.2509315,2545,0.3259120583534241
1733036709.4871936,2557,0.32616370916366577
1733036770.489406,2592,0.33379697799682617
1733036871.6827445,2627,0.3249276876449585
1733036873.18133,2628,0.32111436128616333
1733036876.1775606,2630,0.3253316581249237
1733036942.644804,2674,0.3212099075317383
1733036968.480964,2691,0.3176248073577881
1733036971.524766,2693,0.31959569454193115
1733036979.1274993,2698,0.31512558460235596
1733037024.8503573,2723,0.3146810233592987
1733037026.3692052,2724,0.3169955909252167
1733037041.5280058,2734,0.3209262192249298
1733037044.5738122,2736,0.31704792380332947
1733037052.1684074,2741,0.318452924489975
1733037096.20696,2770,0.310615211725235
1733037118.9895706,2785,0.3155984580516815
1733037128.0944207,2791,0.31458884477615356
1733037384.314801,2923,0.3042159080505371
1733037475.442497,2978,0.3075026869773865
1733037496.6857576,2992,0.30753767490386963
1733037549.8207204,3027,0.30570733547210693
1733037769.5380507,3134,0.29844972491264343
1733037884.6529794,3205,0.299243688583374
1733037951.439649,3249,0.2982032299041748
1733037992.43913,3276,0.30016911029815674
1733037996.9902992,3279,0.2988147735595703
1733038137.9705458,3337,0.2952289581298828
1733038231.5844367,3399,0.29412221908569336
1733038292.1647007,3434,0.2910609841346741
1733038343.7003546,3468,0.2926728129386902
1733038364.9401765,3482,0.2915296256542206
1733038367.974193,3484,0.29246985912323
1733038369.4925609,3485,0.2928135395050049
1733038464.8002436,3543,0.29229843616485596
1733038623.6596475,3614,0.2889106571674347
1733038672.411597,3646,0.29026541113853455
1733038742.5337896,3687,0.2894529402256012
1733038789.5824401,3718,0.29145359992980957
1733039025.933002,3838,0.2887956500053406
1733039053.2117257,3856,0.28597915172576904
1733039056.2449236,3858,0.2826971113681793
1733039132.1481133,3908,0.28643929958343506
1733039224.856825,3964,0.2872646450996399
1733039247.6197982,3979,0.2818804979324341
1733039334.060173,4031,0.284376859664917
1733039414.5685377,4052,0.28249549865722656
1733039422.039262,4057,0.28569453954696655
1733039425.0355933,4059,0.28360214829444885
1733039490.1433194,4102,0.28457725048065186
1733039595.3430986,4166,0.2848312258720398
1733039637.8432975,4194,0.2815517485141754
1733039680.3821049,4222,0.2802363634109497
1733039766.6096885,4274,0.278434157371521
1733039909.1589627,4336,0.280914843082428
1733039925.9508111,4347,0.2799670100212097
1733040044.579024,4420,0.2787274122238159
1733040065.8450985,4434,0.27865728735923767
1733040074.9636075,4440,0.28039318323135376
1733040112.9694686,4465,0.27771615982055664
1733040120.557754,4470,0.27849775552749634
1733040175.4964519,4501,0.2756706774234772
1733040285.5969293,4542,0.277030885219574
1733040305.254458,4555,0.2765950560569763
1733040308.280535,4557,0.27766087651252747
1733040439.4269962,4638,0.278942734003067
1733040489.5163133,4671,0.27501773834228516
1733040586.6609726,4730,0.27653875946998596
1733040612.31068,4747,0.2728632688522339
1733040690.4679818,4768,0.27545177936553955
1733040845.9277487,4866,0.27235427498817444
1733040900.3392708,4902,0.2759079337120056
1733040906.407767,4906,0.2732791304588318
1733040918.5461574,4914,0.27538472414016724
1733041038.5175025,4988,0.27588433027267456
1733041147.3473055,5026,0.2765933871269226
1733041165.510753,5038,0.27336305379867554
1733041168.5472252,5040,0.27378901839256287
1733041226.381123,5078,0.2736611068248749
1733041244.6966796,5090,0.2725467085838318
1733041316.082064,5132,0.26939740777015686
1733041427.1161463,5200,0.2740768790245056
1733041440.709248,5209,0.2726409435272217
1733041445.2515528,5212,0.26877474784851074
1733041607.1492066,5288,0.26682883501052856
1733041610.1838558,5290,0.2735012471675873
1733041699.9718575,5344,0.2709086537361145
1733041742.4367623,5372,0.27212637662887573
1733041850.501739,5438,0.2701950967311859
1733041963.4220579,5477,0.2688329815864563
1733042099.487542,5567,0.26765891909599304
1733042131.6208115,5583,0.26609158515930176
1733042152.8755429,5597,0.2681976556777954
1733042245.4950747,5658,0.26462772488594055
1733042286.751175,5680,0.2691496014595032
1733042443.5593674,5753,0.26649048924446106
1733042446.5987105,5755,0.26362019777297974
1733042495.1497378,5787,0.2693430483341217
1733042560.8125467,5825,0.262835294008255
1733042671.6768281,5898,0.2653390169143677
1733042677.746872,5902,0.2653796672821045
1733042708.264074,5917,0.2629246711730957
1733042816.340074,5958,0.26443731784820557
1733042820.836379,5961,0.2628907859325409
1733042949.7404625,6046,0.2663912773132324
1733042983.4341133,6063,0.26302939653396606
1733042987.9874563,6066,0.26306962966918945
1733043039.602877,6100,0.26076531410217285
1733043042.639505,6102,0.26380035281181335
1733043053.27309,6109,0.26526400446891785
1733043107.9389677,6145,0.26206332445144653
1733043147.1933548,6166,0.2638298571109772
1733043232.214508,6190,0.26350000500679016
1733043248.6455867,6201,0.2638280391693115
1733043289.4500062,6228,0.2640978693962097
1733043319.8318691,6248,0.2624744176864624
1733043327.4185805,6253,0.2573517858982086
1733043496.2379944,6359,0.25789618492126465
1733043511.4238455,6369,0.26017987728118896
1733043595.2370653,6419,0.26061755418777466
1733043672.289075,6438,0.26212549209594727
1733043691.8600693,6451,0.2581888735294342
1733043700.922746,6457,0.2568131983280182
1733043720.6406035,6470,0.26357102394104004
1733043814.9419763,6527,0.26200634241104126
1733043849.7484891,6550,0.2587384283542633
1733043857.3492367,6555,0.255043625831604
1733043893.777442,6579,0.2597121298313141
1733043927.1905124,6601,0.2587586045265198
1733043946.9421067,6614,0.2579839527606964
1733043991.051345,6638,0.26174360513687134
1733044185.0920184,6734,0.2553796172142029
1733044221.6305585,6758,0.2547737956047058
1733044311.3824496,6812,0.25798550248146057
1733044326.5753326,6822,0.2562076151371002
1733044355.443208,6841,0.2581067383289337
1733044445.1456747,6895,0.2582997679710388
1733044551.8745532,6934,0.2542637586593628
1733044556.4136856,6937,0.2628503739833832
1733044574.6198347,6949,0.25922805070877075
1733044615.644936,6976,0.25700047612190247
1733044621.717653,6980,0.25825148820877075
1733044787.2672215,7084,0.2597804367542267
1733044799.4281752,7092,0.25532880425453186
1733044829.9103444,7107,0.2586768567562103
1733045023.9241447,7204,0.2580680251121521
1733045063.6164055,7230,0.2592131495475769
1733045104.7550414,7252,0.2520069479942322
1733045252.0921621,7344,0.25307750701904297
1733045264.1650176,7352,0.2587412893772125
1733045376.2143047,7393,0.25499820709228516
1733045468.403768,7454,0.25049012899398804
